Date,Open,High,Low,Close,Adj Close,Volume
2020-03-30,25.950001,27.600000,24.950001,27.049999,27.049999,928494
2020-03-31,30.000000,32.099998,29.250000,30.600000,30.600000,1989781
2020-04-01,31.040001,32.939999,28.299999,29.620001,29.620001,1452690
2020-04-02,30.000000,30.920000,29.500000,30.799999,30.799999,783432
2020-04-03,30.879999,30.900000,28.440001,28.440001,28.440001,1168522
2020-04-06,29.299999,30.340000,28.299999,29.000000,29.000000,1158377
2020-04-07,28.980000,28.980000,26.139999,26.200001,26.200001,1353424
2020-04-08,26.000000,28.200001,25.219999,26.600000,26.600000,1529655
2020-04-09,26.940001,27.500000,26.100000,26.840000,26.840000,927859
2020-04-14,27.400000,28.600000,27.400000,27.780001,27.780001,660197
2020-04-15,28.100000,30.139999,28.100000,29.440001,29.440001,1463651
2020-04-16,30.100000,33.000000,28.799999,32.799999,32.799999,1761481
2020-04-17,32.500000,32.720001,30.780001,31.379999,31.379999,1212978
2020-04-20,31.500000,32.220001,30.480000,31.559999,31.559999,664576
2020-04-21,31.000000,34.580002,30.799999,32.720001,32.720001,1122305
2020-04-22,33.160000,34.540001,32.200001,33.220001,33.220001,904949
2020-04-23,32.980000,33.439999,32.139999,32.939999,32.939999,518189
2020-04-24,33.080002,34.639999,32.720001,33.759998,33.759998,735876
2020-04-27,34.099998,35.000000,33.619999,35.000000,35.000000,674298
2020-04-28,35.000000,36.160000,33.419998,33.820000,33.820000,849050
2020-04-29,34.020000,34.180000,32.720001,33.119999,33.119999,892857
2020-04-30,33.459999,33.720001,31.600000,32.380001,32.380001,1136512
2020-05-04,31.459999,33.000000,30.420000,32.980000,32.980000,1206418
2020-05-05,35.799999,36.599998,34.360001,36.259998,36.259998,1466285
2020-05-06,35.980000,35.980000,33.980000,35.000000,35.000000,1553032
2020-05-07,35.180000,38.580002,34.660000,38.099998,38.099998,2179818
2020-05-08,38.520000,38.740002,36.840000,37.200001,37.200001,1608006
2020-05-11,37.500000,39.360001,37.180000,39.360001,39.360001,1241092
2020-05-12,39.820000,41.200001,39.299999,41.080002,41.080002,1371602
2020-05-13,41.619999,42.220001,40.099998,40.599998,40.599998,1275776
2020-05-14,40.220001,42.160000,40.160000,40.500000,40.500000,1064046
2020-05-15,40.000000,41.279999,38.619999,39.840000,39.840000,1002175
2020-05-18,40.180000,40.299999,37.419998,38.020000,38.020000,1316899
2020-05-19,37.939999,37.939999,36.099998,36.540001,36.540001,1866894
2020-05-20,36.700001,38.700001,36.240002,38.020000,38.020000,981221
2020-05-21,37.939999,39.560001,37.540001,38.439999,38.439999,665072
2020-05-22,38.080002,39.959999,37.680000,39.740002,39.740002,1004790
2020-05-25,39.939999,40.380001,38.799999,38.900002,38.900002,463652
2020-05-26,38.900002,39.340000,37.660000,37.980000,37.980000,989106
2020-05-27,37.900002,38.000000,35.040001,35.599998,35.599998,1758720
2020-05-28,35.619999,37.139999,35.040001,36.919998,36.919998,1228961
2020-05-29,36.919998,37.779999,36.439999,36.599998,36.599998,907490
2020-06-02,36.799999,37.639999,36.360001,37.000000,37.000000,1020759
2020-06-03,36.900002,37.299999,35.660000,37.299999,37.299999,1193468
2020-06-04,36.200001,36.980000,35.160000,35.799999,35.799999,1234606
